1, 01. Fade to Black (Metallica), Sonata Arctica
2, 02. Somebody Put Something In My Drink (Ramones), Children Of Bodom
3, 03. 18 And Life (Skid Row), Headhunter
4, 04. Summernight City (ABBA), Therion
5, 05. Losing My Religion (R.E.M.), Graveworm
6, 06. Hell Ainâ€™t A Bad Place To Be (ACDC), Burden of Grief
7, 07. Forever & One (2009), Helloween
8, 08. Heart of Gold (Neil Young), Black Label Society
9, 09. Love Will Tear Us Apart (Joy Division), Moonspell
10, 10. Mutter (Rammstein), Scala & Kolacny Brothers
