1, Little Distraction, The Lucksmiths
2, Now the Rain Is Falling, Little Birdy
3, No Worries, Pogo
4, Southern Sun, Boy & Bear
5, We Come from the Same Place, Allo Darlin'
6, I'll See You Tomorrow (Bonus Track), The Jungle Giants
7, Open Up Your Heart and Let the Sunshine In, Frente!
8, Somebody That I Used To Know (featï¼Ž Kimbra), Gotye
9, Neapolitan Dreams, Lisa Mitchell
10, Invest, Big Scary
11, Need You Tonight, Husky
12, There Is No Such Place, Augie March
13, Holding Out For You, Pond
14, Nobody Sees, Powderfinger
